job_id,user_id,user_expected_salary,job_title,salary_min,salary_max,city,state
90253,3563560,1800,"[{""id"":1,""title"":""Chinese"",""prefix"":""zh"",""value"":""""},{""id"":2,""title"":""English"",""prefix"":""en"",""value"":""Mechanical Technician (Johor Senai)""},{""id"":4,""title"":""Bahasa Malaysia"",""prefix"":""ms"",""value"":""""}]",1300,1800,Senai,Johor
91585,2228261,1800,"[{""id"":1,""title"":""Chinese"",""prefix"":""zh"",""value"":""""},{""id"":2,""title"":""English"",""prefix"":""en"",""value"":""F&B  Manager""},{""id"":4,""title"":""Bahasa Malaysia"",""prefix"":""ms"",""value"":""""}]",1200,2000,Seri Kembangan,Selangor
91672,2687010,700,"[{""id"":1,""title"":""Chinese"",""prefix"":""zh"",""value"":""""},{""id"":2,""title"":""English"",""prefix"":""en"",""value"":""Cook / Chef""},{""id"":4,""title"":""Bahasa Malaysia"",""prefix"":""ms"",""value"":""Tukang Masak""}]",80,100,Pantai Dalam,Kuala Lumpur
92083,4038918,1500,"[{""id"":1,""title"":""Chinese"",""prefix"":""zh"",""value"":""""},{""id"":2,""title"":""English"",""prefix"":""en"",""value"":""Sales Assistant""},{""id"":4,""title"":""Bahasa Malaysia"",""prefix"":""ms"",""value"":""""}]",2000,2500,Petaling Jaya,Selangor
92083,4038918,1500,"[{""id"":1,""title"":""Chinese"",""prefix"":""zh"",""value"":""""},{""id"":2,""title"":""English"",""prefix"":""en"",""value"":""Sales Assistant""},{""id"":4,""title"":""Bahasa Malaysia"",""prefix"":""ms"",""value"":""""}]",2000,2500,Genting Highlands,Pahang
92083,3187556,2500,"[{""id"":1,""title"":""Chinese"",""prefix"":""zh"",""value"":""""},{""id"":2,""title"":""English"",""prefix"":""en"",""value"":""Sales Assistant""},{""id"":4,""title"":""Bahasa Malaysia"",""prefix"":""ms"",""value"":""""}]",2000,2500,Petaling Jaya,Selangor
92083,3187556,2500,"[{""id"":1,""title"":""Chinese"",""prefix"":""zh"",""value"":""""},{""id"":2,""title"":""English"",""prefix"":""en"",""value"":""Sales Assistant""},{""id"":4,""title"":""Bahasa Malaysia"",""prefix"":""ms"",""value"":""""}]",2000,2500,Genting Highlands,Pahang
93414,2344260,2500,"[{""id"":1,""title"":""Chinese"",""prefix"":""zh"",""value"":""""},{""id"":2,""title"":""English"",""prefix"":""en"",""value"":""Marketing Executive""},{""id"":4,""title"":""Bahasa Malaysia"",""prefix"":""ms"",""value"":""""}]",2200,3500,Ulu Tiram,Johor
94243,4036120,1500,"[{""id"":1,""title"":""Chinese"",""prefix"":""zh"",""value"":""""},{""id"":2,""title"":""English"",""prefix"":""en"",""value"":""Kitchen Crew""},{""id"":4,""title"":""Bahasa Malaysia"",""prefix"":""ms"",""value"":""""}]",1700,1800,Petaling Jaya,Selangor
94243,4036120,1500,"[{""id"":1,""title"":""Chinese"",""prefix"":""zh"",""value"":""""},{""id"":2,""title"":""English"",""prefix"":""en"",""value"":""Kitchen Crew""},{""id"":4,""title"":""Bahasa Malaysia"",""prefix"":""ms"",""value"":""""}]",1700,1800,Mont Kiara,Kuala Lumpur
